Name,State,Lat,Lon,json
Keith,South Australia,-36.098,140.3556,http://www.bom.gov.au/fwo/IDS60801/IDS60801.94816.json
King Island Airport,Tasmania,-39.8801,143.8829,http://www.bom.gov.au/fwo/IDT60801/IDT60801.94850.json
Kingscote,South Australia,-35.656,137.6377,http://www.bom.gov.au/fwo/IDS60801/IDS60801.95807.json
Kyabram,Victoria,-36.335,145.0638,http://www.bom.gov.au/fwo/IDV60801/IDV60801.95833.json
Lady Elliot Island,Queensland,-24.1116,152.7161,http://www.bom.gov.au/fwo/IDQ60801/IDQ60801.94388.json
Lajamanu,Northern Territory,-18.3325,130.6358,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94231.json
Lakes Entrance,Victoria,-37.8692,147.9961,http://www.bom.gov.au/fwo/IDV60801/IDV60801.95904.json
Legendre Island,Western Australia,-20.3583,116.8431,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94307.json
Lochington,Queensland,-23.9424,147.525,http://www.bom.gov.au/fwo/IDQ60801/IDQ60801.94399.json
Lord Howe Island,New South Wales,-31.55,159.0833,http://www.bom.gov.au/fwo/IDN60801/IDN60801.94995.json
Low Rocky Point,Tasmania,-42.9831,145.5025,http://www.bom.gov.au/fwo/IDT60801/IDT60801.95961.json
Maitland,New South Wales,-34.3745,137.6733,http://www.bom.gov.au/fwo/IDN60801/IDN60801.95775.json
Maitland,South Australia,-34.3745,137.6733,http://www.bom.gov.au/fwo/IDS60801/IDS60801.94665.json
Mandurah,Western Australia,-32.5211,115.75,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94605.json
Mandurah,Western Australia,-32.5219,115.7119,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94605.json
Mardie,Western Australia,-21.1906,115.9797,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94306.json
Marion Reef,Queensland,-19.0964,152.3892,http://www.bom.gov.au/fwo/IDQ60801/IDQ60801.94298.json
Marrawah,Tasmania,-40.9089,144.7094,http://www.bom.gov.au/fwo/IDT60801/IDT60801.94950.json
Maryborough,Queensland,-25.5161,152.7156,http://www.bom.gov.au/fwo/IDQ60801/IDQ60801.94567.json
Maryborough,Queensland,-37.056,143.732,http://www.bom.gov.au/fwo/IDQ60801/IDQ60801.94567.json
